Id,SalePrice
1461,119791.18793941733
1462,157299.7101188223
1463,179217.77345866733
1464,191638.65000357945
1465,200466.05825676204
1466,170114.86324237764
1467,177889.91310513415
1468,161285.7731832834
1469,195397.38941233893
1470,124243.02573377914
1471,189273.4130328233
1472,103319.90472031801
1473,95855.58400520554
1474,143988.16854317638
1475,115053.81495043641
1476,354708.81623070093
1477,240442.14937364595
1478,279541.58310370985
1479,278109.13696896547
1480,515941.92961261934
1481,326836.5219821461
1482,199040.0846028571
1483,173865.6695083173
1484,163319.41034251155
1485,180460.30723323152
1486,191456.4328519494
1487,334527.44209984277
1488,230975.07372300883
1489,196182.05921748411
1490,232186.89088280767
1491,191080.8202581453
1492,93200.00774221413
1493,181382.7758211608
1494,274713.8999297644
1495,284418.73200350866
1496,228678.05175379603
1497,183717.17090761862
1498,173535.85011247094
1499,162054.4972589177
1500,156578.70091778523
1501,176564.12167791912
1502,161817.39166646087
1503,243713.86473529154
1504,244910.1495164312
1505,227408.58335230642
1506,189393.7643678335
1507,260277.63147488065
1508,197291.56810553875
1509,161675.95983714444
1510,147665.44235722141
1511,155425.67555978853
1512,163736.0285500708
1513,145323.97452352883
1514,150397.01019167848
1515,190586.9754597232
1516,145126.91730974114
1517,169657.52333533028
1518,130671.42920851315
1519,218328.9358271915
1520,131399.68636052898
1521,134802.91334941128
1522,173175.63791022493
1523,117624.38847536569
1524,116128.45580983703
1525,121863.68619024148
1526,110916.06875301473
1527,110101.52893770977
1528,140412.56429341272
1529,149256.53834395416
1530,180778.7744724969
1531,112379.17358214068
1532,89924.47598177634
1533,143776.52827902875
1534,123094.00820559199
1535,146040.98725335853
1536,109354.00153711035
1537,64229.7914880776
1538,140047.75455395135
1539,167114.84410638214
1540,84240.81817594287
1541,130065.7601633754
1542,152876.3094174815
1543,181011.582038034
1544,81531.3092216974
1545,114553.69532949704
1546,135178.88835452916
1547,127310.89710087921
1548,131699.24680098277
1549,117995.68580338263
1550,138461.46518841703
1551,109936.55074183318
1552,139782.46208718867
1553,134366.04474763447
1554,122850.17229477184
1555,162910.2853487645
1556,97627.59055041795
1557,98041.79156302247
1558,110109.04608107165
1559,73426.18156113246
1560,132045.1714926029
1561,120215.26108434063
1562,132494.66626012715
1563,125403.56706128575
1564,163343.3058010019
1565,148366.36371837268
1566,233268.11977464886
1567,84772.64204337914
1568,247805.69986689748
1569,143532.7493550322
1570,123412.44176568776
1571,109478.24245922995
1572,141971.4842532973
1573,210467.67321969257
1574,131643.12792050897
1575,254452.517604942
1576,221102.0568564563
1577,177314.64304576273
1578,132304.5350505122
1579,150465.42207902874
1580,194081.5824049087
1581,148436.47278983952
1582,123423.17038857572
1583,297088.3960108436
1584,219304.40426393325
1585,140448.18271336655
1586,72493.15592711925
1587,105853.71519186792
1588,156045.99166661617
